user_id,username,department,status,hire_date,termination_date,manager_username,device_id,location,hostname,full_name,role
EMP12741,omkaar.chana52,Supply Chain,Active,2025-01-11 06:52:43,Not Terminated,manager780,Unknown,Branch Office,LPT-12741,Omkaar Chana,Administrator
EMP11307,ethan.narasimhan97,Legal,Active,2026-05-18 23:12:00,Not Terminated,manager881,DEV42831,Head Office,VDR-11307.,Ethan Narasimhan,Manager
EMP11601,ethan.choudhry47,Marketing,Active,2023-01-14 09:22:00,Not Terminated,manager809,DEV40763,Unknown,WS-11601,Ethan Choudhry,Director
EMP12621,vedant_panchal60,Support,Active,2022-06-29 19:36:39,Not Terminated,manager886,DEV-95371,Head_Office,LPT-12621,Vedant Panchal,Analyst
EMP12029,gayathri.mohanty65,R&D,Active,2021-09-01 00:00:00,Not Terminated,manager867,DEV 51958,work from home,LPT-12029,Gayathri Mohanty,Executive
EMP11950,garima.chaudhary44,Call Center,Active,2023-12-30 17:13:00,Not Terminated,manager521,DEV13049,Unknown,LPT-11950,Garima Chaudhary,Executive
EMP12718,vrishti.dewan18,Compliance,Active,2021-06-21 08:34:45,Not Terminated,manager544,DEV-46814,warehouse,LPT-12718,Vrishti Dewan,Officer
EMP10184,Unknown,IT,Active,2020-07-28 21:36:00,Not Terminated,manager850,DEV 12128,Remote,WS-10184,Varsha Mall,Director
EMP12400,peter.sama77,IT,Active,2026-06-13 19:10:36,Not Terminated,manager829,Unknown,work from home,VDR-12400,Peter Sama,Specialist
EMP10194,ayush.dua87,R&D,Active,2023-02-12 03:25:50,Not Terminated,manager680,DEV-40932,BRANCH OFFICE,LPT-10194,Ayush Dua,Analyst
EMP12798,abhimanyu.trivedi4,Sales,Active,2026-04-13 04:15:33,Not Terminated,manager344,DEV31013,Data_Center,WS-12798,Abhimanyu Trivedi,Specialist
EMP11195,christopher.toor37,Legal,Active,2023-02-13 09:32:23,Not Terminated,manager739,DEV99205,work from home,VDR-11195,Christopher Toor,Director
EMP11406,urishilla.bhatt88,Sales,Active,2024-01-06 19:04:32,Not Terminated,manager438,DEV78076,REGIONAL OFFICE,WS-11406,Urishilla Bhatt,Specialist
EMP10314,girindra.dhaliwal46,R&D,Terminated,2025-01-07 14:08:35,2025-04-21 15:06:37,manager344,DEV-48986,branch office,VDR-10314,Girindra Dhaliwal,Specialist
EMP10102,gaurangi.samra66,Finance,Terminated,2024-04-26 11:39:00,2024-04-30 11:18:18,manager405,DEV-54548,Remote,WS-10102,Gaurangi Samra,Manager
EMP11437,waida.anand56,Operations,Active,2026-04-27 19:55:00,Not Terminated,Unknown,DEV76029,branch office,WS-11437,Waida Anand,Administrator
EMP12959,libni.lala75,Sales,Active,2022-03-28 23:25:36,Not Terminated,manager860,DEV19450,WORK FROM HOME,VDR-12959,Libni Lala,Engineer
EMP11221,qabil.lanka74,Legal,Active,2022-09-15 09:06:54,Not Terminated,manager547,DEV32769,Regional_Office,WS-11221,Qabil Lanka,Executive
EMP12935,abha.naik17,Procurement,Active,2022-01-19 00:00:00,Not Terminated,Unknown,DEV47829,Warehouse,WS-12935,Abha Naik,Executive
EMP10705,bimala.raval96,Marketing,Active,Unknown,Not Terminated,manager772,DEV-92483,REMOTE,LPT-10705.,Bimala Raval,Specialist
EMP12234,tristan.ravi53,Operations,On Leave,2026-07-07 20:26:00,Not Terminated,Unknown,DEV-46572,Warehouse,WS-12234,Tristan Ravi,Executive
EMP11973,edhitha.pathak81,R&D,Terminated,Unknown,Unknown,Unknown,DEV 94430,work from home,VDR-11973.,Edhitha Pathak,Director
EMP11517,anita.dutt25,Human Resources,Active,2026-09-07 04:27:00,Not Terminated,manager205,DEV 75769,BRANCH OFFICE,WS-11517,Anita Dutt,Engineer
EMP12976,aayush.koshy48,Sales,Active,2023-10-03 18:58:14,Not Terminated,Unknown,Unknown,data center,VDR-12976.,Aayush Koshy,Engineer
EMP12232,Unknown,Operations,Terminated,2025-07-23 00:00:00,2026-08-19 09:57:38,manager419,DEV43610,Unknown,WS-12232,Idika Sani,Analyst
EMP10178,tanveer.ghose11,Operations,Disabled,2025-07-12 08:34:52,2025-02-11 19:08:00,manager393,DEV22987,Head_Office,WS-10178,Tanveer Ghose,Engineer
EMP12030,urishilla.dugar5,Customer Support,Active,2021-08-01 14:51:03,Not Terminated,manager911,DEV 10085,Regional_Office,VDR-12030,Urishilla Dugar,Consultant
EMP12926,ronith.bhatti96,Sales,Active,2023-02-18 05:36:00,Not Terminated,Unknown,DEV-21629,BRANCH OFFICE,VDR-12926,Ronith Bhatti,Analyst
EMP10611,Unknown,Procurement,Active,Unknown,Not Terminated,Unknown,DEV-85534,Head Office,VDR-10611,Dhruv Cherian,Administrator
EMP10679,ira.khanna17,IT Support,Active,2020-09-24 13:32:29,Not Terminated,manager283,Unknown,Regional_Office,LPT-10679,Ira Khanna,Trainee
EMP10152,finn.vig49,Support,Disabled,2020-08-11 00:00:00,Not Terminated,manager570,DEV-97562,WAREHOUSE,VDR-10152,Finn Vig,Engineer
EMP12484,aahana.seth4,Sales,Active,Unknown,Not Terminated,manager345,DEV-38543,Head Office,VDR-12484,Aahana Seth,Engineer
EMP11025,darsh.patla51,Finance,Active,2023-10-01 01:50:28,Not Terminated,manager321,DEV 98785,regional office,LPT-11025,Darsh Patla,Manager
EMP10907,sneha.loke46,Finance,Disabled,2022-11-15 07:19:43,Not Terminated,manager675,DEV14190,work from home,VDR-10907.,Sneha Loke,Executive
EMP10254,wriddhish_arora70,Finance,Active,2021-01-30 15:41:12,Not Terminated,manager328,DEV80419,Head Office,LPT-10254,Wriddhish Arora,Consultant
EMP12416,harish.bhatia99,Legal,Active,2026-06-11 00:00:00,Not Terminated,manager695,DEV87517,Head Office,Unknown,Harish Bhatia,Engineer
