user_id,username,department,status,hire_date,termination_date,manager_username,device_id,location,hostname,full_name,role,total_iam_events,failed_logins,avg_risk_score,total_endpoint_alerts,critical_alerts,high_alerts,insider_threat_score
EMP12741,omkaar.chana52,Supply Chain,Active,2025-01-11 06:52:43,Not Terminated,manager780,Unknown,Branch Office,LPT-12741,Omkaar Chana,Administrator,1.0,1.0,50.0,1.0,0.0,0.0,27.0
EMP11307,ethan.narasimhan97,Legal,Active,2026-05-18 23:12:00,Not Terminated,manager881,DEV42831,Head Office,VDR-11307.,Ethan Narasimhan,Manager,8.0,4.0,37.25,2.0,0.0,1.0,29.625
EMP11601,ethan.choudhry47,Marketing,Active,2023-01-14 09:22:00,Not Terminated,manager809,DEV40763,Unknown,WS-11601,Ethan Choudhry,Director,0.0,0.0,0.0,4.0,1.0,1.0,8.0
EMP12621,vedant_panchal60,Support,Active,2022-06-29 19:36:39,Not Terminated,manager886,DEV-95371,Head_Office,LPT-12621,Vedant Panchal,Analyst,8.0,0.0,65.125,2.0,1.0,1.0,40.5625
EMP12029,gayathri.mohanty65,R&D,Active,2021-09-01 00:00:00,Not Terminated,manager867,DEV 51958,work from home,LPT-12029,Gayathri Mohanty,Executive,4.0,1.0,56.0,0.0,0.0,0.0,30.0
EMP11950,garima.chaudhary44,Call Center,Active,2023-12-30 17:13:00,Not Terminated,manager521,DEV13049,Unknown,LPT-11950,Garima Chaudhary,Executive,6.0,2.0,54.5,0.0,0.0,0.0,31.25
EMP12718,vrishti.dewan18,Compliance,Active,2021-06-21 08:34:45,Not Terminated,manager544,DEV-46814,warehouse,LPT-12718,Vrishti Dewan,Officer,1.0,1.0,50.0,4.0,0.0,2.0,33.0
EMP10184,Unknown,IT,Active,2020-07-28 21:36:00,Not Terminated,manager850,DEV 12128,Remote,WS-10184,Varsha Mall,Director,7.0,0.0,52.285714285714285,2.0,0.0,1.0,29.142857142857142
EMP12400,peter.sama77,IT,Active,2026-06-13 19:10:36,Not Terminated,manager829,Unknown,work from home,VDR-12400,Peter Sama,Specialist,11.0,3.0,51.0,0.0,0.0,0.0,31.5
EMP10194,ayush.dua87,R&D,Active,2023-02-12 03:25:50,Not Terminated,manager680,DEV-40932,BRANCH OFFICE,LPT-10194,Ayush Dua,Analyst,59.0,21.0,45.644067796610166,4.0,1.0,2.0,75.82203389830508
EMP12798,abhimanyu.trivedi4,Sales,Active,2026-04-13 04:15:33,Not Terminated,manager344,DEV31013,Data_Center,WS-12798,Abhimanyu Trivedi,Specialist,7.0,2.0,38.42857142857143,5.0,0.0,1.0,26.214285714285715
EMP11195,christopher.toor37,Legal,Active,2023-02-13 09:32:23,Not Terminated,manager739,DEV99205,work from home,VDR-11195,Christopher Toor,Director,3.0,1.0,27.333333333333332,1.0,0.0,0.0,15.666666666666666
EMP11406,urishilla.bhatt88,Sales,Active,2024-01-06 19:04:32,Not Terminated,manager438,DEV78076,REGIONAL OFFICE,WS-11406,Urishilla Bhatt,Specialist,6.0,2.0,53.333333333333336,2.0,0.0,0.0,30.666666666666668
EMP10314,girindra.dhaliwal46,R&D,Terminated,2025-01-07 14:08:35,2025-04-21 15:06:37,manager344,DEV-48986,branch office,VDR-10314,Girindra Dhaliwal,Specialist,2.0,0.0,61.5,4.0,1.0,0.0,35.75
EMP10102,gaurangi.samra66,Finance,Terminated,2024-04-26 11:39:00,2024-04-30 11:18:18,manager405,DEV-54548,Remote,WS-10102,Gaurangi Samra,Manager,4.0,0.0,41.75,0.0,0.0,0.0,20.875
EMP11437,waida.anand56,Operations,Active,2026-04-27 19:55:00,Not Terminated,Unknown,DEV76029,branch office,WS-11437,Waida Anand,Administrator,5.0,3.0,47.0,3.0,1.0,0.0,34.5
EMP12959,libni.lala75,Sales,Active,2022-03-28 23:25:36,Not Terminated,manager860,DEV19450,WORK FROM HOME,VDR-12959,Libni Lala,Engineer,7.0,3.0,48.142857142857146,3.0,0.0,1.0,33.07142857142857
EMP11221,qabil.lanka74,Legal,Active,2022-09-15 09:06:54,Not Terminated,manager547,DEV32769,Regional_Office,WS-11221,Qabil Lanka,Executive,5.0,3.0,21.4,3.0,0.0,1.0,19.7
EMP12935,abha.naik17,Procurement,Active,2022-01-19 00:00:00,Not Terminated,Unknown,DEV47829,Warehouse,WS-12935,Abha Naik,Executive,2.0,1.0,38.0,3.0,0.0,1.0,24.0
EMP10705,bimala.raval96,Marketing,Active,Unknown,Not Terminated,manager772,DEV-92483,REMOTE,LPT-10705.,Bimala Raval,Specialist,8.0,1.0,53.75,3.0,1.0,0.0,33.875
EMP12234,tristan.ravi53,Operations,On Leave,2026-07-07 20:26:00,Not Terminated,Unknown,DEV-46572,Warehouse,WS-12234,Tristan Ravi,Executive,3.0,1.0,24.666666666666668,4.0,2.0,0.0,24.333333333333336
EMP11973,edhitha.pathak81,R&D,Terminated,Unknown,Unknown,Unknown,DEV 94430,work from home,VDR-11973.,Edhitha Pathak,Director,6.0,1.0,54.5,6.0,0.0,0.0,29.25
